Model_Parameter,Value,Train_R2,Test_R2
RF_n_estimators,10,0.9604758498164703,0.7818025429646942
RF_n_estimators,50,0.970769577551699,0.8031307154710401
RF_n_estimators,100,0.9724423046033299,0.8062323667381325
RF_n_estimators,200,0.9732918732620514,0.807584363130951
GBR_max_depth,2,0.7476673537931635,0.7343408610428798
GBR_max_depth,3,0.7943679224163652,0.7683392304011123
GBR_max_depth,5,0.8678472442942124,0.8028323682228734
GBR_max_depth,8,0.9565294518970617,0.8196065973009343
KNN_n_neighbors,3,1.0,0.6638029684295411
KNN_n_neighbors,5,1.0,0.6860346361075221
KNN_n_neighbors,10,1.0,0.6941459209607995
KNN_n_neighbors,20,1.0,0.6916804390484522
SVR_C,1,-0.03118501222611318,-0.03171360941475624
SVR_C,100,0.29592882082537536,0.29534601342170624
SVR_C,10000,0.6624595984395161,0.6584479986884313
SVR_C,100000,0.7194770647401688,0.7074741907117937